gemeente.naam,gemeente.afkorting,gemeente.provincie,gemeente.contact.telefoon,gemeente.contact.emailadres,gemeente.contact.internet,gemeente.aantalInwoners,gemeente.totaalZetels
Gemeente Zeevang,Zeevang,NH,(029)9409409,gemeente@zeevang.nl,http://www.zeevang.nl,6307,13
Gemeente Millingen aan de Rijn,Millingen aan de Rijn,GLD,(024)3996200,info@millingenaanderijn.nl,http://www.millingenaanderijn.nl,5920,11
Gemeente Peel en Maas,Peel en Maas,LB,(077)3066666,info@peelenmaas.nl,http://www.peelenmaas.nl,43045,27
Gemeente Woudrichem,Woudrichem,NB,(0183)308100,gemeente@woudrichem.nl,http://www.woudrichem.nl,14443,16
Gemeente De Wolden,De Wolden,DR,140528,gemeente@dewolden.nl,http://www.dewolden.nl,23546,19
Gemeente Mook en Middelaar,Mook en Middelaar,LB,(024)6969111,gemeente@mookenmiddelaar.nl,http://www.mookenmiddelaar.nl,8029,13
Gemeente Smallingerland,Smallingerland,FR,(0512)581234,gemeente@smallingerland.nl,http://www.smallingerland.nl,55441,31
Gemeente Diemen,Diemen,NH,(020)3144888,gemeente@diemen.nl,http://www.diemen.nl,25000,19
Gemeente Beesel,Beesel,LB,(077)4749292,info@beesel.nl,http://www.beesel.nl,13690,15
Gemeente Terschelling,Terschelling,FR,(0562)446244,gemeente@terschelling.nl,http://www.terschelling.nl,4800,11
Gemeente Someren,Someren,NB,(0493)494888,gemeente@someren.nl,http://www.someren.nl,18242,17
Gemeente Sint Anthonis,Sint Anthonis,NB,(0485)388888,postbus@sintanthonis.nl,http://www.sintanthonis.nl,11799,15
Gemeente Bergen (L),Bergen (L),LB,(0485)348383,info@bergen.nl,http://www.bergen.nl,13275,15
Gemeente Landsmeer,Landsmeer,NH,(020)4877111,Gemeente@Landsmeer.nl,http://www.landsmeer.nl,10264,15
Gemeente Etten-Leur,Etten-Leur,NB,14076,info@etten-leur.nl,http://www.etten-leur.nl,42273,27
Gemeente Borger-Odoorn,Borger-Odoorn,DR,140591,gemeente@borger-odoorn.nl,http://www.borger-odoorn.nl,25941,21
Gemeente Helmond,Helmond,NB,140492,gemeente@helmond.nl,http://www.helmond.nl,86061,37
Stadsdeel Centrum,Centrum,NH,(020)2564444,DIV@centrum.amsterdam.nl,http://www.centrum.amsterdam.nl,82203,38
Gemeente Bergeijk,Bergeijk,NB,(0497)551455,info@bergeijk.nl,http://www.bergeijk.nl,18126,17
Gemeente Middelburg,Middelburg,ZLD,(0118)675000,info@middelburg.nl,http://www.middelburg.nl,47474,29
Gemeente Edam-Volendam,Edam-Volendam,NH,(0299)398398,info@edam-volendam.nl,http://www.edam-volendam.nl,28754,21
Gemeente Voerendaal,Voerendaal,LB,(045)5753399,info@voerendaal.nl,http://www.voerendaal.nl,12848,15
Gemeente Aa en Hunze,Aa en Hunze,DR,140592,gemeente@aaenhunze.nl,http://www.aaenhunze.nl,25570,21
Gemeente Baarle-Nassau,Baarle-Nassau,NB,(013)5075200,gemeente@baarle-nassau.nl,http://www.baarle-nassau.nl,6700,13
Gemeente Ermelo,Ermelo,GLD,(0341)567321,gemeente@ermelo.nl,http://www.ermelo.nl,26305,21
Gemeente Wormerland,Wormerland,NH,(075)6429000,Postbus@wormerland.nl,http://www.wormerland.nl,15796,17
Gemeente Koggenland,Koggenland,NH,(0229)548400,info@koggenland.nl,http://www.koggenland.nl/,22345,19
Gemeente Dongeradeel,Dongeradeel,FR,140519,gemeente@dongeradeel.nl,http://www.dongeradeel.nl,24289,18
Gemeente Woudenberg,Woudenberg,UT,(033)2869100,postbus@gemwoudenberg.nl,http://www.woudenberg.eu,12008,15
Gemeente Oosterhout,Oosterhout,NB,140162,stadhuis@oosterhout.nl,http://www.oosterhout.nl,53787,30
Gemeente Onderbanken,Onderbanken,LB,(045)5278787,gemeente@onderbanken.nl,http://www.onderbanken.nl,8391,13
Gemeente Schijndel,Schijndel,NB,(073)5440999,info@schijndel.nl,http://www.schijndel.nl,23337,19
Gemeente Veere,Veere,ZLD,(0118)555444,gemeente@veere.nl,http://www.veere.nl,21913,19
Gemeente Neerijnen,Neerijnen,GLD,(0418)656565,gemeente@neerijnen.nl,http://www.neerijnen.nl,12019,14
Gemeente Wijdemeren,Wijdemeren,NH,(035)6559595,postbus@wijdemeren.nl,http://www.wijdemeren.nl,23571,19
Gemeente Texel,Texel,NH,140222,gemeente@texel.nl,http://www.texel.nl,13618,17
Gemeente Haarlemmerliede en Spaarnwoude,Haarlemmerliede en Spaarnwoude,NH,(020)4079000,post@Haarlemmerliede.nl,http://www.haarlemmerliede.nl,5444,11
Gemeente Emmen,Emmen,DR,140591,gemeente@emmen.nl,http://www.emmen.nl,109150,39
Gemeente Capelle aan den IJssel,Capelle aan den IJssel,ZH,(010)2848484,gemeente@capelleaandenijssel.nl,http://www.capelleaandenijssel.nl,65374,33
Gemeente Strijen,Strijen,ZH,(078)6748200,info@strijen.nl,http://www.strijen.nl,8848,13
Gemeente Oldebroek,Oldebroek,GLD,(0525)638200,gemeente@oldebroek.nl,http://www.oldebroek.nl,22631,19
Gemeente Borsele,Borsele,ZLD,(0113)238383,info@borsele.nl,http://www.borsele.nl,22676,19
Gemeente Mill en St. Hubert,Mill en St. Hubert,NB,(0485)460300,info@gemeente-mill.nl,http://www.gemeente-mill.nl,10911,15
Gemeente Heusden,Heusden,NB,(073)5131789,info@heusden.nl,http://www.heusden.nl,42883,27
Gemeente Aalburg,Aalburg,NB,(0416)698700,gemeente@aalburg.nl,http://www.aalburg.nl,12779,15
Gemeente Assen,Assen,DR,(0592)366911,info@assen.nl,http://www.assen.nl,67209,32
Gemeente Medemblik,Medemblik,NH,(0229)856000,info@medemblik.nl,http://www.medemblik.nl,42891,27
Gemeente Heemskerk,Heemskerk,NH,140251,post@heemskerk.nl,http://www.heemskerk.nl,39224,25
Gemeente Heerde,Heerde,GLD,(0578)699494,gemeente@heerde.nl,http://www.heerde.nl,18244,16
Gemeente Terneuzen,Terneuzen,ZLD,140115,gemeente@terneuzen.nl,http://www.terneuzen.nl,54740,31
Gemeente Hardinxveld-Giessendam,Hardinxveld-Giessendam,ZH,140184,info@gemhg.nl,http://www.hardinxveld-giessendam.nl,17722,17
Gemeente Schiermonnikoog,Schiermonnikoog,FR,(0519)535050,postbus20@schiermonnikoog.nl,http://www.schiermonnikoog.nl,946,9
Gemeente Ooststellingwerf,Ooststellingwerf,FR,(0516)566222,gemeente@ooststellingwerf.nl,http://www.ooststellingwerf.nl,26224,21
Gemeente Brielle,Brielle,ZH,(0181)471111,info@brielle.nl,http://www.brielle.nl,15918,17
Gemeente Schiedam,Schiedam,ZH,14010,contact@schiedam.nl,http://www.schiedam.nl,76229,35
Gemeente Tiel,Tiel,GLD,(0344)637111,gemeente@tiel.nl,http://www.tiel.nl,41191,26
Gemeente Korendijk,Korendijk,ZH,(0186)697777,gemeente@korendijk.nl,http://www.korendijk.nl,10773,15
Gemeente Meerssen,Meerssen,LB,14043,info@meerssen.nl,http://www.meerssen.nl,19367,16
Gemeente Waddinxveen,Waddinxveen,ZH,140182,gemeente@waddinxveen.nl,http://www.waddinxveen.nl,25280,21
Gemeente De Friese Meren,De Friese Meren,FR,14514,,http://www.defriesemeren.nl/,51200,31
Gemeente Deurne,Deurne,NB,(0493)387711,info@deurne.nl,http://www.deurne.nl,31525,23
Gemeente Westervoort,Westervoort,GLD,(026)3179911,gemeente@westervoort.nl,http://www.westervoort.nl,15203,16
Gemeente Zwartewaterland,Zwartewaterland,OV,(038)3853000,info@zwartewaterland.nl,http://www.zwartewaterland.nl,22184,19
Gemeente Wijchen,Wijchen,GLD,14024,gemeente@wijchen.nl,http://www.wijchen.nl,40748,27
Gemeente Werkendam,Werkendam,NB,(0183)507200,info@werkendam.nl,http://www.werkendam.nl,26407,21
Gemeente Steenwijkerland,Steenwijkerland,OV,140521,info@steenwijkerland.nl,http://www.steenwijkerland.nl,43393,27
Gemeente Groningen,Groningen,GR,(050)3679111,info@groningen.nl,http://www.groningen.nl,195800,40
Gemeente Goeree-Overflakkee,Goeree-Overflakkee,ZH,140187,info@goeree-overflakkee.nl,http://www.goeree-overflakkee.nl,77939,29
Gemeente Heemstede,Heemstede,NH,14023,gemeente@heemstede.nl,http://www.heemstede.nl,26317,21
Gemeente Reimerswaal,Reimerswaal,ZLD,140113,gemeente@reimerswaal.nl,http://www.reimerswaal.nl,21109,19
Gemeente Staphorst,Staphorst,OV,(0522)467400,gemeente@staphorst.nl,http://www.staphorst.nl,16169,17
Gemeente Littenseradiel,Littenseradiel,FR,(0515)334444,info@littenseradiel.nl,http://www.littenseradiel.nl,10930,15
Gemeente Hollands Kroon,Hollands Kroon,NH,(088)3215000,contact@hollandskroon.nl,http://www.hollandskroon.nl,47681,29
Gemeente Leudal,Leudal,LB,(0475)859000,info@leudal.nl,http://www.leudal.nl,36606,25
Gemeente Cromstrijen,Cromstrijen,ZH,(0186)656100,info@cromstrijen.nl,http://www.cromstrijen.nl,12780,15
Gemeente Brunssum,Brunssum,LB,(045)5278555,gemeente@brunssum.nl,http://www.brunssum.nl,29590,21
Gemeente Den Helder,Den Helder,NH,(0223)671200,info@denhelder.nl,http://www.denhelder.nl,57526,31
Gemeente Hof van Twente,Hof van Twente,OV,(0547)858585,info@hofvantwente.nl,http://www.hofvantwente.nl,35137,25
Gemeente Nieuwegein,Nieuwegein,UT,14030,gemeente@nieuwegein.nl,http://www.nieuwegein.nl,61365,33
Gemeente Bergambacht,Bergambacht,ZH,(0182)356555,gemeente@bergambacht.nl,http://www.bergambacht.nl,9910,13
Gemeente Nuenen c.a.,Nuenen c.a.,NB,(040)2631631,gemeentehuis@nuenen.nl,http://www.nuenen.nl,22601,19
Gemeente Ameland,Ameland,FR,(0519)555555,gemeente@ameland.nl,http://www.ameland.nl,3525,11
Gemeente Den Haag,Den Haag,ZH,14070,,http://www.denhaag.nl,500287,45
Gemeente Hoorn,Hoorn,NH,(0229)252200,gemeente@hoorn.nl,http://www.hoorn.nl,70697,35
Gemeente Echt-Susteren,Echt-Susteren,LB,(0475)478478,info@echt-susteren.nl,http://www.echt-susteren.nl,32180,23
Gemeente Raalte,Raalte,OV,(0572)347799,info@raalte.nl,http://www.raalte.nl,37311,25
Gemeente Enschede,Enschede,OV,14053,postbus20@enschede.nl,http://www.enschede.nl,156089,39
Gemeente Cuijk,Cuijk,NB,(0485)396600,gemeente@cuijk.nl,http://www.cuijk.nl,24249,19
Gemeente Leerdam,Leerdam,ZH,(0345)636363,info@leerdam.nl,http://www.leerdam.nl,20688,19
Gemeente Nuth,Nuth,LB,14045,gemeente@nuth.nl,http://www.nuth.nl,15844,17
Gemeente Venlo,Venlo,LB,14077,info@venlo.nl,http://www.venlo.nl,100031,39
Gemeente Naarden,Naarden,NH,(035)6957811,info@naarden.nl,http://www.naarden.nl,17140,17
Gemeente Hellevoetsluis,Hellevoetsluis,ZH,140181,gemeente@hellevoetsluis.nl,http://www.hellevoetsluis.nl,39633,25
Gemeente Dinkelland,Dinkelland,OV,(0541)854100,info@dinkelland.nl,http://www.dinkelland.nl,26068,21
Gemeente Loon op Zand,Loon op Zand,NB,(0416)289111,info@loonopzand.nl,http://www.loonopzand.nl,23000,19
Gemeente Laarbeek,Laarbeek,NB,(0492)469700,gemeente@laarbeek.nl,http://www.laarbeek.nl,21748,18
Gemeente Eersel,Eersel,NB,(0497)531300,gemeente@eersel.nl,http://www.eersel.nl,18041,17
Gemeente Lemsterland,Lemsterland,FR,(0514)567575,info@lemsterland.nl,http://www.lemsterland.nl,13576,15
Gemeente Rozendaal,Rozendaal,GLD,(026)3843666,gemeente@rozendaal.nl,http://www.rozendaal.nl,1501,9
Gemeente Borne,Borne,OV,(074)2658686,info@borne.nl,http://www.borne.nl,20521,19
Gemeente Amsterdam,Amsterdam,NH,14020,,http://www.amsterdam.nl,742884,45
Gemeente Haarlemmermeer,Haarlemmermeer,NH,09001852,info@haarlemmermeer.nl,http://www.haarlemmermeer.nl,143000,39
Gemeente Drimmelen,Drimmelen,NB,(0162)690190,gemeente@drimmelen.nl,http://www.drimmelen.nl,26575,21
Gemeente Wijk bij Duurstede,Wijk bij Duurstede,UT,(0343)595595,info@wijkbijduurstede.nl,http://www.wijkbijduurstede.nl,23366,19
Gemeente Noordenveld,Noordenveld,DR,14050,postbus@gemeentenoordenveld.nl,http://www.gemeentenoordenveld.nl,30956,24
Gemeente Opmeer,Opmeer,NH,(0226)363333,gemeente@opmeer.nl,http://www.opmeer.nl,11396,15
Gemeente Duiven,Duiven,GLD,(0316)279111,gemeente@duiven.nl,http://www.duiven.nl,25605,21
Gemeente Stadskanaal,Stadskanaal,GR,(0599)631631,gemeente@stadskanaal.nl,http://www.stadskanaal.nl,33100,23
Gemeente Culemborg,Culemborg,GLD,(0345)477700,info@culemborg.nl,http://www.culemborg.nl,27615,21
Gemeente Leiden,Leiden,ZH,14071,sleutel@leiden.nl,http://www.leiden.nl/gemeente,119807,39
Gemeente Horst aan de Maas,Horst aan de Maas,LB,(077)4779777,gemeente@horstaandemaas.nl,http://www.horstaandemaas.nl,41453,27
Gemeente Kapelle,Kapelle,ZLD,(0113)333110,gemeente@kapelle.nl,http://www.kapelle.nl,12275,15
Gemeente Leeuwarderadeel,Leeuwarderadeel,FR,(058)2576666,info@leeuwarderadeel.nl,http://www.leeuwarderadeel.nl,10435,15
Gemeente Nieuwkoop,Nieuwkoop,ZH,140172,info@nieuwkoop.nl,http://www.nieuwkoop.nl,26987,21
Gemeente Noordoostpolder,Noordoostpolder,FL,(0527)633911,info@noordoostpolder.nl,http://www.noordoostpolder.nl,45777,29
Gemeente Coevorden,Coevorden,DR,140524,info@coevorden.nl,http://www.coevorden.nl,35894,24
Gemeente Uitgeest,Uitgeest,NH,140251,gemeentebestuur@uitgeest.nl,http://www.uitgeest.nl,13000,15
Gemeente Almelo,Almelo,OV,(0546)541111,Gemeente@almelo.nl,http://www.almelo.nl,72096,34
Gemeente Boekel,Boekel,NB,(0492)326800,info@boekel.nl,http://www.boekel.nl,10062,13
Gemeente Winterswijk,Winterswijk,GLD,(0543)543543,gemeente@winterswijk.nl,http://www.winterswijk.nl,28883,21
Gemeente Súdwest Fryslân,Súdwest Fryslân,FR,(0515)489000,info@gemeentesudwestfryslan.nl,http://www.gemeentesudwestfryslan.nl,82495,37
Gemeente Ommen,Ommen,OV,(0529)459100,gemeente@ommen.nl,http://www.ommen.nl,17311,17
Gemeente Renswoude,Renswoude,UT,(0318)578150,info@renswoude.nl,http://www.renswoude.nl,4823,11
Gemeente Dronten,Dronten,FL,140321,gemeente@dronten.nl,http://www.dronten.nl,40700,25
Gemeente Overbetuwe,Overbetuwe,GLD,(0481)362300,info@overbetuwe.nl,http://www.overbetuwe.nl,45566,29
Gemeente Oisterwijk,Oisterwijk,NB,(013)5291311,gemeente@oisterwijk.nl,http://www.oisterwijk.nl,25743,21
Gemeente Katwijk,Katwijk,ZH,(071)4065000,info@katwijk.nl,http://www.katwijk.nl,62481,33
Gemeente Zaanstad,Zaanstad,NH,14075,,http://www.zaanstad.nl,142857,39
Gemeente Barneveld,Barneveld,GLD,140342,info@barneveld.nl,http://www.barneveld.nl,53918,31
Gemeente Rijnwoude,Rijnwoude,ZH,(071)3428282,gemeente@rijnwoude.nl,http://www.rijnwoude.nl,18696,17
Gemeente Molenwaard,Molenwaard,ZH,140184,info@gemeentemolenwaard.nl,http://www.gemeentemolenwaard.nl,29051,21
Gemeente Rijswijk,Rijswijk,ZH,(070)3261404,stadhuis@rijswijk.nl,http://www.rijswijk.nl,47024,29
Gemeente Bellingwedde,Bellingwedde,GR,(0597)537100,gemeente@bellingwedde.nl,http://www.bellingwedde.nl,9261,13
Gemeente De Ronde Venen,De Ronde Venen,UT,(0297)291616,info@derondevenen.nl,http://www.derondevenen.nl,42993,28
Gemeente Losser,Losser,OV,(053)5377444,gemeente@losser.nl,http://www.losser.nl,22559,19
Gemeente Beuningen,Beuningen,GLD,14024,gemeente@beuningen.nl,http://www.beuningen.nl,25510,21
Gemeente Hellendoorn,Hellendoorn,OV,(0548)630000,gemeentebestuur@hellendoorn.nl,http://www.hellendoorn.nl,36046,24
Gemeente Tubbergen,Tubbergen,OV,(0546)628000,gemeente@tubbergen.nl,http://www.tubbergen.nl,21215,19
Gemeente Maasdonk,Maasdonk,NB,(073)5342100,postbus5@maasdonk.nl,http://www.maasdonk.nl,11292,15
Gemeente Heiloo,Heiloo,NH,(072)5356666,info@heiloo.nl,http://www.heiloo.nl,22650,19
Gemeente Rucphen,Rucphen,NB,(0165)349500,gemeente@rucphen.nl,http://www.rucphen.nl,22264,19
Gemeente Vlissingen,Vlissingen,ZLD,(0118)487000,gemeente@vlissingen.nl,http://www.vlissingen.nl,44502,27
Gemeente Hattem,Hattem,GLD,(038)4431616,gemeente@hattem.nl,http://www.hattem.nl,11745,15
Gemeente Schouwen-Duiveland,Schouwen-Duiveland,ZLD,(0111)452000,gemeente@schouwen-duiveland.nl,http://www.schouwen-duiveland.nl,34132,23
Gemeente Vlagtwedde,Vlagtwedde,GR,(0599)320220,info@vlagtwedde.nl,http://www.vlagtwedde.nl,16260,17
Gemeente Noordwijk,Noordwijk,ZH,(071)3660000,gemeente@noordwijk.nl,http://www.noordwijk.nl,25523,21
Gemeente Drechterland,Drechterland,NH,(0228)352352,gemeente@drechterland.nl,http://www.drechterland.nl,19600,17
Gemeente Haren,Haren,GR,(050)5339911,gemeente@haren.nl,http://www.haren.nl,18715,17
Gemeente Simpelveld,Simpelveld,LB,14045,info@simpelveld.nl,http://www.simpelveld.nl,10925,15
Gemeente Bernisse,Bernisse,ZH,(0181)667200,info@gemeentebernisse.nl,http://www.gemeentebernisse.nl,12463,15
Gemeente Rijnwaarden,Rijnwaarden,GLD,(0316)565600,rijnwaarden@rijnwaarden.nl,http://www.rijnwaarden.nl,11017,15
Gemeente Zandvoort,Zandvoort,NH,(023)5740100,info@zandvoort.nl,http://www.zandvoort.nl,16599,16
Gemeente Amstelveen,Amstelveen,NH,(020)5404911,gemeente@amstelveen.nl,http://www.amstelveen.nl,84377,37
Gemeente Bunschoten,Bunschoten,UT,14033,,http://www.bunschoten.nl,20369,17
Gemeente Alphen-Chaam,Alphen-Chaam,NB,(013)5086666,info@alphen-chaam.nl,http://www.alphen-chaam.nl,9525,13
